X,Y,OBJECTID,Business_Category,Business_Name,Address,City,Zip
-13162521.9835266,4025436.0550887,1544,Food Establishment,TODOS MARKET                  ,1801   E FLORENCE AVE    ,Los Angeles,90001
-13163255.3495504,4027348.59695443,1545,Food Establishment,toms jr burger,1500 E Slauson Avenue,Los Angeles,90011
-13128558.6959501,4033697.16608853,1546,Food Establishment,Tony's Liquor,16015 Amar Road,La Puente,91744
-13156982.0742606,4033662.50815406,1547,Food Establishment,Toofer Enterprises Inc.,3535 E 1st Street,Los Angeles,90063
-13145980.129826,4034484.61836681,1548,Food Establishment,TOZA FOODS MARKET,8147 Arroyo Drive,Rosemead,91770
-13123351.8797042,4027559.16812545,1549,Food Establishment,TP ISLAND INC,1463 S Nogales Street,Rowland Heights,91748
-13168402.2304179,4009787.51028701,1550,Food Establishment,Trademark Brewing LLC,980 W 190Th Street,Torrance,90502
-13184819.8198837,4049977.58430895,1551,Food Establishment,Trader Joe's Company,14140 W Riverside Drive,Sherman Oaks,91423
-13195916.7645171,4051723.80432596,1552,Food Establishment,Trader Joe's Company,18700 W Ventura Boulevard,Tarzana,91356
-13187127.5557511,4082054.73258392,1553,Food Establishment,Trader Joe's Company,19037 Golden Valley Road,Canyon Country,91387
-13195464.3137191,4086369.46817821,1554,Food Establishment,Trader Joe's Company,26517 Bouquet Canyon Road,Santa Clarita,91350
-13145675.3834016,4045966.57538904,1555,Food Establishment,Trader Joe's Company,3035 Huntington Drive,Pasadena,91107
-13163330.7146456,4059664.34104543,1556,Food Establishment,Trader Shin Corporation,3157 Foothill Boulevard,La Crescenta,91214
-13229642.2781143,4033125.80096604,1557,Food Establishment,TRANCAS OIL INC.,30811 Pacific Coast Highway,Malibu,90265
-13185860.6271369,4026678.62783808,1558,Food Establishment,"Travel Traders Hotel Stores, Inc",4375 Admiralty Way,Marina Del Rey,90292
-13144907.0812288,4024341.26222761,1559,Food Establishment,TRINITY ARCO,8505 Pioneer Boulevard,Whittier,90606
-13140121.2799728,4040486.57330819,1560,Food Establishment,Triple T Bakehouse,10569 Marsen Street,El Monte,91731
